published,subhead,headline,vortext,link
01.04.19,How-to,In 7 Schritten zur Industrie 4.0 - aber sicher,"Wie können Industrieunternehmen das Konzept von Industrie 4.0 umsetzen, ohne die IT-Sicherheit zu gefährden? Der Leitfaden erklärt die 7 wichtigsten Schritte auf dem Weg in und durch die digitale Transformation.",
28.03.19,"Vorbeikommen, diskutieren, netzwerken",VOGEL auf der Hannover Messe 2019,"Mit gläserner Redaktion, MM Messe Daily und vielfältigen Community-Aktivitäten präsentiert sich die Vogel Communication Group auf der Hannover Messe 2019. Am Stand D 15 in Halle 15 besteht nicht nur die Möglichkeit, die Kommunikationsdienstleistungen von Vogel kennen zu lernen. Es gibt auch vielfältige Gelegenheiten zu Know-how-Austausch und Networking.",
01.04.19,Veranstaltungskalender,IoT-Events im Mai 2019,Der Mai steht ebenfalls wieder ganz im Zeichen zahlreicher Veranstaltung rund um die Themen Internet of Things und Industrie 4.0.,
28.03.19,Connected Cars,Autonomes Fahren – Offene Schnittstellen für viele Sensordaten,Sensordaten spielen beim autonomen Fahren eine entscheidende Rolle. Doch fehlt es bisher an einer einheitlichen Schnittstelle. Mit einer Fusionsplattform soll sich das ändern.,
31.03.19,Augmented Reality,Datenbrillen im Unternehmen einführen in nur fünf Schritten ,"Wearable Computing – am Körper getragene Computer, Smart Watches und Datenbrillen (Head-Mounted Displays, HMD) – boomt. Doch wie kann die Einführung der Datenbrillen-Technologie im Unternehmen erfolgreich realisiert werden? Ubimax, Anbieter von Wearable Computing und Augmented Reality Lösungen, beschreibt dies anhand von fünf Schritten.",
27.03.19,Transformation der Automobilproduktion,VW und AWS: Ein Automobil-Konzern geht in die Cloud,"Eine enge strategische Partnerschaft haben Volkswagen und der Cloud-Anbieter AWS geschlossen. Entstehen soll eine digitale Produktionsplattform zur Stärkung eines weltweiten industriellen VW-Ökosystems, das im Laufe der Zeit mehr als 30.000 Anlagen sowie 1500 Lieferanten und Partner in die globale Lieferkette des Automobil-Konzerns integrieren wird.",
03.04.19,Landwirtschaft 4.0,Vernetzte Landwirtschaft – Beispiel für einen Wachstumsmarkt schlechthin,"Das Beratungsunternehmen MarketsandMarkets hat kürzlich seine Prognosen für den Markt der vernetzten Landwirtschaft veröffentlicht. Dieser hat mit einem Volumen von 1,78 Milliarden US-Dollar bereits ein gewaltiges Wachstum hingelegt. Bis zum Jahr 2023 soll er laut der Analysen auf insgesamt 4,31 Milliarden US-Dollar schnellen. ",
29.03.19,Interview,Künstliche Intelligenz ist der nächste Schritt,"Im Interview mit dem VDW-Branchenreport äußert sich Daniela Kluckert, Mitglied der Enquete-Kommission Künstliche Intelligenz des Deutschen Bundestages, zu den Chancen und Hindernissen für die Einführung von KI in der Industrie.",
29.03.19,"Ein Netz, viele Ortungsoptionen",Geolokalisierung mit Sigfox,"Zur Hannover Messe legt Sigfox einen Schwerpunkt auf die Präsentation der Ortungsoptionen, die Kunden mit der 0G-Netz nutzen können. Die Ultraschmalbandtechnologie unterstützt mehrere Technologien, inklusive der netzeigenen Ortung, die extrem stromsparend für die Devices ist. Man muss das Netz aber zunächst nur als Verbindungsglied zum Internet der Dinge verstehen, über das man Daten unterschiedlichster Ortungslösungen übertragen kann.",
29.03.19,IoT,Mit Sensoren und Blockchain ins Internet der Dinge,Sensible Sensordaten fallen in der vernetzten Industrie in großen Mengen an. Doch der Austausch außerhalb eines Unternehmens birgt Risiken. Hilfe verspricht die Blockchain.,
